latitude,longitude,is_cloudy,reconstructed,B02,B03,B04,B05,B08,B11,B12,VV,VH
4.963074,100.769850,0,0,0.12930,0.14360,0.12610,0.16930,0.51240,0.27610,0.17180,0.21971,0.07480
4.963073,100.769940,0,0,0.13000,0.14310,0.12480,0.17260,0.49670,0.27610,0.17390,0.26509,0.06487
4.963073,100.770030,0,0,0.12940,0.14440,0.12650,0.17230,0.47770,0.27740,0.17440,0.30610,0.04394
4.963073,100.770120,0,1,0.13041,0.14534,0.12638,0.17363,0.49847,0.28793,0.17488,0.36467,0.04196
4.963073,100.770210,0,0,0.13090,0.14290,0.12510,0.17210,0.50670,0.28590,0.17690,0.50316,0.05038
4.963072,100.770300,0,0,0.13030,0.14400,0.12630,0.17420,0.52940,0.29430,0.18020,0.64944,0.04439
4.963072,100.770391,0,0,0.13080,0.14540,0.12610,0.17410,0.52160,0.29700,0.18080,0.56633,0.04239
4.963072,100.770481,0,0,0.13130,0.14500,0.12590,0.17340,0.52920,0.29800,0.18050,0.34631,0.06011
4.962984,100.769669,0,0,0.12820,0.14240,0.12360,0.16600,0.50550,0.27790,0.17120,0.38357,0.04095
4.962983,100.769759,0,1,0.13014,0.14696,0.12576,0.17146,0.49762,0.27652,0.17362,0.27649,0.06649
4.962983,100.769849,0,0,0.13050,0.14230,0.12450,0.17090,0.50410,0.27990,0.17400,0.26360,0.07461
4.962983,100.769940,0,0,0.13070,0.14620,0.12720,0.17950,0.49870,0.28470,0.17900,0.33669,0.05921
4.962983,100.770030,0,0,0.13600,0.15020,0.13450,0.17870,0.47520,0.28560,0.17860,0.34439,0.04033
4.962982,100.770120,0,0,0.13050,0.14380,0.12970,0.17490,0.48160,0.28510,0.17650,0.33176,0.03340
4.962982,100.770210,0,1,0.13351,0.15404,0.13032,0.17551,0.49913,0.29202,0.17918,0.49548,0.03013
4.962982,100.770300,0,0,0.13300,0.15150,0.13260,0.17680,0.51530,0.29740,0.18360,0.74615,0.02618
4.962982,100.770390,0,0,0.13670,0.15830,0.13840,0.17700,0.51800,0.29840,0.18340,0.68488,0.03429
4.962982,100.770480,0,0,0.13170,0.15040,0.12980,0.17670,0.50360,0.29760,0.18180,0.37132,0.05663
4.962893,100.769669,0,0,0.12810,0.14340,0.12170,0.16660,0.49890,0.27830,0.17200,0.30723,0.02844
4.962893,100.769759,0,0,0.13120,0.14290,0.12310,0.16510,0.49600,0.27690,0.17110,0.26934,0.03951
4.962893,100.769849,0,0,0.13250,0.14570,0.12650,0.17220,0.50450,0.28160,0.17550,0.24838,0.04303
4.962893,100.769939,0,0,0.13820,0.15590,0.13870,0.18210,0.49580,0.28840,0.18170,0.29125,0.03673
4.962892,100.770029,0,1,0.13524,0.15138,0.13402,0.17479,0.49424,0.28453,0.17540,0.30071,0.03816
4.962892,100.770120,0,0,0.13940,0.16030,0.14380,0.17680,0.49450,0.28710,0.17710,0.30349,0.03909
4.962892,100.770210,0,0,0.13160,0.14510,0.12800,0.17560,0.48480,0.29060,0.17880,0.38877,0.03028
4.962892,100.770300,0,0,0.13400,0.15100,0.12920,0.17540,0.52700,0.29570,0.18200,0.57474,0.02472
4.962891,100.770390,0,0,0.13590,0.15900,0.13450,0.17520,0.53900,0.29580,0.18140,0.55489,0.04076
4.962891,100.770480,0,0,0.13210,0.15130,0.12930,0.17500,0.51600,0.29430,0.17960,0.30771,0.06013
